"file","sha256","bytes"
"rr5e_replication_records.csv","1f4b817f085730a9c841e712ce72f9fcc9ff963d0a3f9aa5ce438ec2a043c77e","88303"
"rr5e_replication_records.parquet","af0f7d71bd52abae2b80809293fd6e51f2e611ffb0c98536b1f1804cd9cdd2f3","39639"
"rr5e_run_manifest.json","266c24b8f1d753e74f0014195e1e566ddb013d65b6feebf2359d3d959f75e118","38654"
"rr5e_pilot_summary.csv","a5e741dd610582c7b19adc42cc046fb799f6f4a5689af81a6af382491486938d","25581"
"rr5e_start_diagnostics.csv","d48dc9b2339fd2c7609465a9e536c5a82917da4adbf871929bb4544bea585bd2","7146859"
"rr5e_rank_summary.csv","feacb3da08f6681ae456e4500099dab340549eea194c5ff354f33ce9fe04b065","127"
"rr5e_summary_by_truth.csv","04ca21139e860db2a6bf9275d1a5aa0e0160b65eb1f5507bb4bacfabd0334e8c","196"
"rr5e_summary_by_dgp.csv","ad6db9071b6d51c5e006fbf9a6eb9e5497796c0307b5831199d1c0c36bda570c","180"
"rr5e_summary_by_panel.csv","462588af45fccd14ad142c7a218ae709c1c1acab8d9bb3de5bd9dcd92577d9e9","348"
"rr5e_block_diagnostics.csv","1e2ca614bf8b0efedc15f07ceca4398d95ff8a1f21cf7523688558012f877327","56482"
"rr5e_rectangular_summary.csv","4b9b9ac470f349cbbb44af671daedab60113042dec5361678bc14166f658af63","215"
"rr5e_postrefit_summary.csv","e5d5fb4b585565cff99686d56ad518092e042538f1c56a97c48a0f251e3c8eaf","194"
"rr5e_runtime_summary.csv","d5ad5b8c80201724c701520916881aee9b2626fa7fe441c1ba3a131281349f0a","753"
"rr5e_resume_log.json","5b6130709c9770d1fd0a83324902daa9299e840fc6434b9695507772fcd5a39a","405"
"rr5e_decision.md","dbb319250e2725840ef957da481f4add168131bce94c18b16cd4ea34dcbbe5a6","1056"
"rr5e_report.md","c611f8232d4e4abc66ffe32255ec8de26e2491e4760ec534b00ac2c587d7f65c","7013"
"f6c655e22d7c8930/manifest.json","2c79791862aa033188a4eb0f99588415f5e9d84b7f3059884a7649aa13e5daad","37980"
"f6c655e22d7c8930/task_manifest.json","bbc2daa75e14c8244263722ee00858a004b5c7e0b29ff18f434592ecb64f2d95","91714"
"f6c655e22d7c8930/performance_task_metrics.json","99e55b33a36729435864746c89329b5ce23627763b737ffcdec655f580497067","430868"
